iso_code,location,total_cases_per_million,total_deaths_per_million,people_vaccinated_per_hundred,date
AFG,Afghanistan,0.026,,,2020-02-24
AFG,Afghanistan,0.026,,,2020-02-25
AFG,Afghanistan,0.026,,,2020-02-26
AFG,Afghanistan,0.026,,,2020-02-27
AFG,Afghanistan,0.026,,,2020-02-28
AFG,Afghanistan,0.026,,,2020-02-29
AFG,Afghanistan,0.026,,,2020-03-01
AFG,Afghanistan,0.026,,,2020-03-02
AFG,Afghanistan,0.051,,,2020-03-03
AFG,Afghanistan,0.103,,,2020-03-04
AFG,Afghanistan,0.103,,,2020-03-05
AFG,Afghanistan,0.103,,,2020-03-06
AFG,Afghanistan,0.103,,,2020-03-07
AFG,Afghanistan,0.128,,,2020-03-08
AFG,Afghanistan,0.18,,,2020-03-09
AFG,Afghanistan,0.206,,,2020-03-10
AFG,Afghanistan,0.283,,,2020-03-11
AFG,Afghanistan,0.308,,,2020-03-12
AFG,Afghanistan,0.334,,,2020-03-13
AFG,Afghanistan,0.385,,,2020-03-14
AFG,Afghanistan,0.411,,,2020-03-15
AFG,Afghanistan,0.462,,,2020-03-16
AFG,Afghanistan,0.514,,,2020-03-17
AFG,Afghanistan,0.617,,,2020-03-18
AFG,Afghanistan,0.642,,,2020-03-19
AFG,Afghanistan,0.745,,,2020-03-20
AFG,Afghanistan,0.771,,,2020-03-21
AFG,Afghanistan,0.873,0.026,,2020-03-22
AFG,Afghanistan,1.053,0.026,,2020-03-23
AFG,Afghanistan,1.105,0.026,,2020-03-24
AFG,Afghanistan,1.952,0.051,,2020-03-25
AFG,Afghanistan,2.055,0.077,,2020-03-26
AFG,Afghanistan,2.338,0.077,,2020-03-27
AFG,Afghanistan,2.749,0.103,,2020-03-28
AFG,Afghanistan,3.031,0.103,,2020-03-29
AFG,Afghanistan,3.75,0.103,,2020-03-30
AFG,Afghanistan,4.495,0.103,,2020-03-31
AFG,Afghanistan,5.061,0.103,,2020-04-01
AFG,Afghanistan,6.165,0.103,,2020-04-02
AFG,Afghanistan,7.064,0.206,,2020-04-03
AFG,Afghanistan,7.706,0.257,,2020-04-04
AFG,Afghanistan,8.683,0.308,,2020-04-05
AFG,Afghanistan,9.453,0.385,,2020-04-06
AFG,Afghanistan,10.892,0.411,,2020-04-07
AFG,Afghanistan,11.431,0.411,,2020-04-08
AFG,Afghanistan,12.459,0.437,,2020-04-09
AFG,Afghanistan,13.666,0.462,,2020-04-10
AFG,Afghanistan,14.283,0.462,,2020-04-11
AFG,Afghanistan,15.618,0.488,,2020-04-12
AFG,Afghanistan,17.108,0.565,,2020-04-13
AFG,Afghanistan,18.367,0.591,,2020-04-14
AFG,Afghanistan,20.165,0.745,,2020-04-15
AFG,Afghanistan,21.604,0.771,,2020-04-16
AFG,Afghanistan,23.299,0.771,,2020-04-17
AFG,Afghanistan,23.993,0.771,,2020-04-18
AFG,Afghanistan,25.611,0.848,,2020-04-19
AFG,Afghanistan,26.382,0.925,,2020-04-20
AFG,Afghanistan,28.077,0.925,,2020-04-21
AFG,Afghanistan,30.235,1.028,,2020-04-22
AFG,Afghanistan,31.751,1.028,,2020-04-23
AFG,Afghanistan,34.191,1.105,,2020-04-24
AFG,Afghanistan,37.608,1.207,,2020-04-25
AFG,Afghanistan,39.354,1.336,,2020-04-26
AFG,Afghanistan,43.773,1.49,,2020-04-27
AFG,Afghanistan,47.009,1.516,,2020-04-28
AFG,Afghanistan,49.835,1.567,,2020-04-29
AFG,Afghanistan,54.639,1.644,,2020-04-30
AFG,Afghanistan,58.852,1.747,,2020-05-01
AFG,Afghanistan,63.45,1.85,,2020-05-02
AFG,Afghanistan,69.487,2.183,,2020-05-03
AFG,Afghanistan,74.367,2.312,,2020-05-04
AFG,Afghanistan,82.845,2.44,,2020-05-05
AFG,Afghanistan,87.16,2.672,,2020-05-06
AFG,Afghanistan,91.553,2.723,,2020-05-07
AFG,Afghanistan,97.127,2.8,,2020-05-08
AFG,Afghanistan,103.832,2.954,,2020-05-09
AFG,Afghanistan,113.105,3.083,,2020-05-10
AFG,Afghanistan,120.401,3.134,,2020-05-11
AFG,Afghanistan,127.619,3.262,,2020-05-12
AFG,Afghanistan,134.272,3.391,,2020-05-13
AFG,Afghanistan,144.882,3.494,,2020-05-14
AFG,Afghanistan,155.517,3.93,,2020-05-15
AFG,Afghanistan,164.482,4.316,,2020-05-16
AFG,Afghanistan,171.212,4.367,,2020-05-17
AFG,Afghanistan,181.693,4.444,,2020-05-18
AFG,Afghanistan,196.618,4.573,,2020-05-19
AFG,Afghanistan,209.256,4.829,,2020-05-20
AFG,Afghanistan,222.897,4.984,,2020-05-21
AFG,Afghanistan,236.82,5.292,,2020-05-22
AFG,Afghanistan,256.908,5.574,,2020-05-23
AFG,Afghanistan,271.91,5.626,,2020-05-24
AFG,Afghanistan,287.092,5.651,,2020-05-25
AFG,Afghanistan,303.994,5.677,,2020-05-26
AFG,Afghanistan,320.05,5.857,,2020-05-27
AFG,Afghanistan,334.949,6.062,,2020-05-28
AFG,Afghanistan,350.953,6.345,,2020-05-29
AFG,Afghanistan,373.199,6.422,,2020-05-30
AFG,Afghanistan,390.667,6.628,,2020-05-31
AFG,Afghanistan,404.667,6.833,,2020-06-01
AFG,Afghanistan,424.164,7.039,,2020-06-02
AFG,Afghanistan,443.636,7.655,,2020-06-03
